"preds","include.prec","fit.type","which.data","radius","weight.style","equal.weights","response.name","weight.col","step.size","tc","cb","la","bag.fraction","mllr","parID","boot.i","test.site","nboots","metaID","ntrees","cv.init","cv","cv.red","cv.sd","cv.max","cv.min","ntest","ntest.pres"
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Badala",10,1,439,0.259681175324581,0.189432959204924,0.270517167953559,0.281957622053171,1.24065549354797,0.00701214086352781,306,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Bafodia",10,2,309,0.20537489124669,0.145811317090514,0.290023643078308,0.193566214962958,0.774446560430207,0.0109403229052249,857,157
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Barlie",10,3,413,0.256054623438725,0.191398636316192,0.252508571234629,0.294706759657472,1.31726376643325,0.00755892415146731,210,2
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Benduma",10,4,311,0.253451324899255,0.182531105327501,0.279817908231274,0.284892601304788,1.2267812810345,0.0114038236105697,324,8
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Gbainkfay",10,5,341,0.257195107823156,0.191914956112705,0.253815682043753,0.277845474639761,1.23082709284973,0.0114459368623757,72,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Gbenikoro",10,6,339,0.256134872226245,0.191284429571884,0.253188650536731,0.28514519754508,1.27768346510605,0.0101444007006748,18,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Guala",10,7,416,0.258888038542953,0.189260216525078,0.268949552129742,0.28554486794774,1.27282230629204,0.0075900545203539,277,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Kapethe",10,8,336,0.257275856585485,0.190059144681005,0.26126319350975,0.280044578649972,1.24798374210608,0.0104021607023158,264,1
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Largo",10,9,335,0.254610841915669,0.185378777587669,0.271913261065804,0.291532037099495,1.2673479872389,0.0103842860767284,483,13
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Makump",10,10,433,0.256142408409053,0.191657798495362,0.251752961620907,0.283180151194057,1.25625489530084,0.00754537180091036,27,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Makuna",10,11,349,0.257634397320702,0.198276925382287,0.230394204173473,0.299204827773923,1.38311043619736,0.00971006830046446,114,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Mokorie",10,12,407,0.256807563169841,0.192214457456964,0.251523377721388,0.283781391025431,1.26171822880277,0.00850726684244059,84,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Naiawama",10,13,528,0.240364669682217,0.1636069928027,0.319338432644853,0.273303218692451,1.3280027227647,0.00477814734984588,60,5
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Njaguima",10,14,377,0.2565762448669,0.19027961840952,0.258389573406423,0.28653509149376,1.2982111785356,0.00810556285586659,84,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Petema",10,15,396,0.257814510757316,0.19267625530651,0.252655505151613,0.28810816486434,1.30052736650872,0.00764055883047934,148,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Talama",10,16,398,0.247287463562322,0.180304427352466,0.270871136146273,0.299574844322679,1.37059257462076,0.0067732321024524,120,6
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Yekeyor",10,17,353,0.256565591047569,0.195986582822156,0.236115092355394,0.290476225558714,1.31262023552737,0.00880978854206682,156,1
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Bamba",10,18,365,0.257629770404191,0.192755571016601,0.251811734667971,0.284289334954181,1.26821106607156,0.00872367781613966,172,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Bantou",10,19,341,0.227204256824327,0.178831891807562,0.212902547218412,0.288249738469987,1.29701170699798,0.00829626773913647,3340,1670
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Gagal",10,20,260,0.25923780554807,0.191679426249058,0.26060388513235,0.290631395219325,1.33688781258798,0.0144663249494753,1020,510
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Gania",10,21,320,0.26468312711255,0.192606929639344,0.272311266152441,0.281386338249613,1.27599558407312,0.012968269321014,900,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Gayebombo",10,22,331,0.257699414103493,0.192929062920087,0.251340700205838,0.282463598704247,1.26968721833922,0.0108539715721744,159,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Gbetaya",10,23,340,0.243101696597281,0.181975071085079,0.25144466849799,0.293687640889647,1.34659781594278,0.00955191329585839,600,300
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Kaali",10,24,360,0.257771343307356,0.195038784043238,0.24336514082296,0.287005236460673,1.29705127246669,0.00976442190039318,240,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Khoneya",10,25,335,0.259120928021729,0.195858103436872,0.244144018269152,0.286432930156324,1.29642968451209,0.0121650346428113,327,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Sangassou",10,26,414,0.252598077471055,0.18620033667462,0.262859248420223,0.295286149779493,1.31475019613352,0.00808886058117019,420,210
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Tanganya",10,27,391,0.240099807970701,0.185248344426768,0.22845275890694,0.295789620595707,1.31876504504907,0.00766313968591865,3024,1512
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"Yafraya",10,28,353,0.25723341482699,0.193134631870086,0.249185289555076,0.287379274223442,1.28816964493414,0.0100234311638755,102,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,1,"none",10,29,402,0.25245352881496,0.187359740240079,0.257844637309834,0.284979676518802,1.27829598395088,0.00810218006918289,NA,NA
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Badala",10,30,451,0.260631829475759,0.193334133078391,0.258209814713469,0.284635689005984,1.24824638263538,0.0076259038174737,306,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Bafodia",10,31,268,0.205739672765946,0.147959382724308,0.280841751446598,0.191916849872309,0.763056936904658,0.0128467529755027,857,157
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Barlie",10,32,361,0.2560554216192,0.187489757331824,0.267776654967087,0.283885530865687,1.2372356764205,0.00900412313604862,210,2
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Benduma",10,33,410,0.2532473154391,0.181775374328361,0.282221910178262,0.289405876540028,1.25216556414181,0.00789116736706097,324,8
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Gbainkfay",10,34,309,0.256971249262889,0.195205039500215,0.240362336019489,0.281683353830306,1.29466443554366,0.0130507988993049,72,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Gbenikoro",10,35,380,0.256347676486101,0.190533520035461,0.25673787003959,0.279001283083021,1.25034548062905,0.0102098116405294,18,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Guala",10,36,400,0.258406364880567,0.188276505747928,0.271393698700307,0.276912416380164,1.24037761661014,0.0093726844199739,277,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Kapethe",10,37,342,0.257250837437591,0.195201260709395,0.241202622880671,0.288796105556886,1.31931905183249,0.0101706100602003,264,1
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Largo",10,38,327,0.254363787527497,0.184053108452477,0.276417802071841,0.283067666718151,1.25213305503739,0.0106977911988931,483,13
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Makump",10,39,327,0.256348183823513,0.19303356160768,0.246986817973413,0.287984082588343,1.31890730284691,0.0114833283106725,27,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Makuna",10,40,360,0.256450545157187,0.190832470844889,0.255870285914498,0.278718152902176,1.245932567248,0.00893910310322375,114,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Mokorie",10,41,379,0.256502442630488,0.192084347737998,0.251140278555901,0.281084172479842,1.25137272413699,0.00894590528057908,84,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Naiawama",10,42,731,0.239978528752382,0.163089919572133,0.320397868842613,0.283017043590275,1.36665308543436,0.00288175738582596,60,5
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Njaguima",10,43,390,0.256645760686629,0.190515221546361,0.257672439097931,0.281597112852991,1.22174787549308,0.00880307767081268,84,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Petema",10,44,402,0.257312342325146,0.186989032696564,0.273299403336511,0.275351021523493,1.2087990432499,0.00713815120982336,148,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Talama",10,45,369,0.246810864766686,0.174034016689086,0.294868899496773,0.280491413270016,1.23490304021205,0.00838534418931791,120,6
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Yekeyor",10,46,501,0.256200830788574,0.188949770724212,0.262493528445503,0.285748004071748,1.22618408537991,0.00608374187029635,156,1
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Bamba",10,47,321,0.258190925912044,0.188599440092573,0.269534979099839,0.271879791515056,1.19129783502444,0.0111791435699773,172,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Bantou",10,48,294,0.227411418044922,0.17701389190822,0.221613877482382,0.28552423728013,1.28336148405012,0.0101594473234372,3340,1670
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Gagal",10,49,280,0.26062917846961,0.184496653036624,0.292110522237105,0.269779394625243,1.17622445728468,0.0135728928995247,1020,510
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Gania",10,50,347,0.266274647377745,0.190274925969766,0.285418541180766,0.276712429816383,1.23287336721384,0.0108311927043763,900,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Gayebombo",10,51,383,0.258128531102398,0.190129684947112,0.263430182881686,0.279850309738251,1.22867763842788,0.00902323269202867,159,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Gbetaya",10,52,440,0.243949798211367,0.176177235709519,0.277813562457336,0.284986225490077,1.24849608176884,0.00807712311401058,600,300
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Kaali",10,53,403,0.259259927444572,0.190339516782677,0.265835184562525,0.281624937238546,1.2296973999837,0.0109372508185435,240,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Khoneya",10,54,457,0.25974810249153,0.189593467085923,0.270087191138941,0.280610058849983,1.20496431335678,0.00859436451240222,327,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Sangassou",10,55,348,0.253352569134474,0.184182541033029,0.273018854072609,0.28746618634499,1.27406558764959,0.0099786025971022,420,210
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Tanganya",10,56,299,0.24064290134887,0.180363036290976,0.250495089279629,0.279274896053356,1.23911476978888,0.0123931719933883,3024,1512
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"Yafraya",10,57,333,0.257683394255454,0.188877197234542,0.26701835878761,0.27725156866236,1.22069685730946,0.0109380172679563,102,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,2,"none",10,58,361,0.252806781927053,0.184036337481649,0.272027688186178,0.279258484181214,1.23817930682512,0.00887084621271464,NA,NA
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Badala",10,59,377,0.260302105946321,0.193427974650837,0.25690968212633,0.277078814964962,1.22150173577778,0.00878216930684366,306,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Bafodia",10,60,323,0.205350523412607,0.144601591053704,0.295830423752274,0.193677513479384,0.765011491554143,0.0105147082983805,857,157
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Barlie",10,61,386,0.256929922855578,0.187731160048732,0.269329325435337,0.282099511397789,1.25689226096425,0.00921667742521726,210,2
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Benduma",10,62,345,0.254144961258938,0.186596747377767,0.265786162143695,0.298949904093744,1.32393728236223,0.0100780547094636,324,8
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Gbainkfay",10,63,411,0.257065680963897,0.192616743520891,0.250710002211684,0.288850993407978,1.28767107809517,0.00854967352181244,72,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Gbenikoro",10,64,305,0.256787000743645,0.189212435476566,0.263154151383773,0.272093063080496,1.21290050180667,0.0123937242172646,18,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Guala",10,65,441,0.25945724214185,0.190695238734052,0.265022486326301,0.284778882858577,1.28090293225563,0.00820351884623814,277,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Kapethe",10,66,289,0.257757665115639,0.195349918766411,0.242117906837919,0.280417897581538,1.26422634053121,0.0129906569244134,264,1
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Largo",10,67,338,0.2546852727043,0.184704744132173,0.274772576478646,0.288743625653261,1.27082624967419,0.0100294465361266,483,13
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Makump",10,68,356,0.257126538658642,0.190993981470564,0.257198488857174,0.280296970026637,1.2403438414933,0.00894345255222875,27,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Makuna",10,69,353,0.258367957100499,0.191422462930578,0.259109120655705,0.283347484748833,1.26622288769988,0.00955030616277824,114,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Mokorie",10,70,376,0.257700376656335,0.193223540893997,0.250200782004767,0.287916380516482,1.29994419633831,0.00862872322847376,84,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Naiawama",10,71,509,0.240172811100978,0.161211970381194,0.328766775713783,0.268758712504062,1.2951994297175,0.00448295092476461,60,5
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Njaguima",10,72,411,0.257502357108551,0.19077784505466,0.25912194670033,0.285954656709825,1.2582506727993,0.00727854710278279,84,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Petema",10,73,370,0.258462658334,0.190332831172433,0.263596403444577,0.286518374036836,1.28748734154811,0.00814096646725705,148,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Talama",10,74,358,0.247813623197181,0.178077154250644,0.281406922052261,0.288603566651761,1.28475164841535,0.00926525928147008,120,6
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Yekeyor",10,75,392,0.257389721313113,0.193191500182976,0.249420298536478,0.286689434837321,1.2707006832517,0.00769491723697612,156,1
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Bamba",10,76,335,0.258852626492735,0.190855561623002,0.26268640110415,0.278511820154433,1.23868957712702,0.0110093276687609,172,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Bantou",10,77,288,0.225786445175538,0.175539750067472,0.222540795436154,0.277222688248011,1.24394146300511,0.01188181403953,3340,1670
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Gagal",10,78,338,0.260200569788019,0.186173202101762,0.284501174407749,0.282744144229416,1.25401019457002,0.0104267323998611,1020,510
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Gania",10,79,395,0.265271478467302,0.192408401223784,0.274673619887482,0.279852165498086,1.24074963138616,0.0132766184623218,900,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Gayebombo",10,80,348,0.258268266979473,0.192528112072253,0.254542130460205,0.282770916461916,1.25689318518959,0.00944737609777014,159,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Gbetaya",10,81,342,0.244246810146224,0.176795455135435,0.27616063837398,0.27615881130776,1.21983785437694,0.00954927887710601,600,300
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Kaali",10,82,343,0.258642730246661,0.192374498576957,0.256215326858426,0.27694261952304,1.22860820002291,0.0155714279453679,240,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Khoneya",10,83,332,0.259602911673551,0.191166816392299,0.263618365603347,0.277778079886561,1.23730880893333,0.0129478800130583,327,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Sangassou",10,84,418,0.253356778234121,0.18608234587745,0.265532395957861,0.299958554587154,1.33702060552694,0.00816978780945187,420,210
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Tanganya",10,85,324,0.241547498786467,0.180686407753511,0.251963242586744,0.285392682440567,1.26390967437604,0.0099102943277207,3024,1512
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Yafraya",10,86,351,0.257833817658483,0.190017052283374,0.263025098844622,0.277445314643336,1.22821680012822,0.0101048993063781,102,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"none",10,87,406,0.25284924056815,0.183141387640656,0.275689390131689,0.27849277179876,1.22886722451578,0.00742916777816225,NA,NA
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Badala",10,88,425,0.260148625809843,0.193571830203076,0.255918305928057,0.287242130734668,1.27190675319947,0.00882162769129231,306,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Bafodia",10,89,319,0.206096657963393,0.148729386578151,0.278351293767375,0.197578017787078,0.790552124539684,0.0101380041182372,857,157
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Barlie",10,90,318,0.256376471006523,0.190155561867687,0.258295579461157,0.280537632303507,1.22225072320588,0.0110892830418749,210,2
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Benduma",10,91,370,0.254174668577938,0.186330298408819,0.266920266085902,0.287106569903754,1.22727120034047,0.00827575581415226,324,8
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Gbainkfay",10,92,319,0.25703298959254,0.196551937047994,0.235304630119359,0.29182662691197,1.32658946171033,0.0112042127569157,72,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Gbenikoro",10,93,314,0.255966102791234,0.192031415426752,0.249777945858039,0.279777031157724,1.23886895725005,0.0120179578346941,18,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Guala",10,94,496,0.258401622621919,0.189855836605738,0.265268403970024,0.295624231004835,1.32902899364216,0.00600328644259497,277,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Kapethe",10,95,379,0.25774247300952,0.192510540156529,0.25308957461032,0.289000715054686,1.27065097373273,0.00919851319394851,264,1
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Largo",10,96,366,0.254288223208128,0.184172488852766,0.275733313445563,0.283575694432093,1.23464369343681,0.00900681796264317,483,13
